date,price
Mon Jan 15 23:34:22 2018,14375.2
Mon Jan 15 23:29:22 2018,14421.9
Mon Jan 15 23:24:22 2018,14403.2
Mon Jan 15 23:19:22 2018,14382.3
Mon Jan 15 23:14:22 2018,14405.8
Mon Jan 15 23:09:22 2018,14393.3
Mon Jan 15 23:04:21 2018,14326.5
Mon Jan 15 22:59:22 2018,14336.9
Mon Jan 15 22:54:22 2018,14282
Mon Jan 15 22:49:22 2018,14329.7
Mon Jan 15 22:44:22 2018,14266.2
Mon Jan 15 22:39:22 2018,14286.5
Mon Jan 15 22:34:22 2018,14223.5
Mon Jan 15 22:29:21 2018,14258.9
Mon Jan 15 22:24:21 2018,14267.8
Mon Jan 15 22:19:22 2018,14290.6
Mon Jan 15 22:14:23 2018,14247.6
Mon Jan 15 22:09:22 2018,14240.1
Mon Jan 15 22:04:21 2018,14257.9
Mon Jan 15 21:59:22 2018,14137.6
Mon Jan 15 21:54:22 2018,14128.4
Mon Jan 15 21:49:21 2018,14014.7
Mon Jan 15 21:44:21 2018,13943.7
Mon Jan 15 21:39:21 2018,13930.7
Mon Jan 15 21:34:21 2018,13915
Mon Jan 15 21:29:21 2018,13881.4
Mon Jan 15 21:24:22 2018,13864
Mon Jan 15 21:19:22 2018,13873.9
Mon Jan 15 21:14:22 2018,13905.7
Mon Jan 15 21:09:22 2018,13905.8
Mon Jan 15 21:04:22 2018,13928.8
Mon Jan 15 20:59:21 2018,13879.8
Mon Jan 15 20:54:22 2018,13873.5
Mon Jan 15 20:49:22 2018,13834.5
Mon Jan 15 20:44:22 2018,13791.9
Mon Jan 15 20:39:21 2018,13800.5
Mon Jan 15 20:34:22 2018,13856.2
Mon Jan 15 20:29:23 2018,13904.8
Mon Jan 15 20:24:22 2018,13904.3
Mon Jan 15 20:19:22 2018,13908.1
Mon Jan 15 20:14:22 2018,13960.6
Mon Jan 15 20:09:22 2018,13933.6
Mon Jan 15 20:04:23 2018,13911.8
Mon Jan 15 19:59:21 2018,13932.7
Mon Jan 15 19:54:24 2018,13900.4
Mon Jan 15 19:49:22 2018,13890.8
Mon Jan 15 19:44:23 2018,13897.9
Mon Jan 15 19:39:23 2018,13884.8
Mon Jan 15 19:34:21 2018,13891.8
Mon Jan 15 19:29:21 2018,13874.6
Mon Jan 15 19:24:22 2018,13897.6
Mon Jan 15 19:19:21 2018,13887
Mon Jan 15 19:14:22 2018,13872.3
Mon Jan 15 19:09:22 2018,13845.2
Mon Jan 15 19:04:22 2018,13847
Mon Jan 15 18:59:21 2018,13848.5
Mon Jan 15 18:54:22 2018,13857.9
Mon Jan 15 18:49:21 2018,13788.9
Mon Jan 15 18:44:22 2018,13753
Mon Jan 15 18:39:22 2018,13746.5
Mon Jan 15 18:34:22 2018,13766.3
Mon Jan 15 18:29:22 2018,13774.7
Mon Jan 15 18:24:22 2018,13765.2
Mon Jan 15 18:19:22 2018,13797.3
Mon Jan 15 18:14:22 2018,13788.4
Mon Jan 15 18:09:22 2018,13781.4
Mon Jan 15 18:04:21 2018,13766.1
Mon Jan 15 17:59:19 2018,13782
Mon Jan 15 17:54:23 2018,13722
Mon Jan 15 17:49:22 2018,13737.4
Mon Jan 15 17:44:21 2018,13775.2
Mon Jan 15 17:39:22 2018,13771.8
Mon Jan 15 17:34:22 2018,13824.5
Mon Jan 15 17:29:22 2018,13831.8
Mon Jan 15 17:24:21 2018,13813.3
Mon Jan 15 17:19:21 2018,13802
Mon Jan 15 17:14:22 2018,13781.4
Mon Jan 15 17:09:22 2018,13796.6
Mon Jan 15 17:04:21 2018,13834.5
Mon Jan 15 16:59:22 2018,13851.9
Mon Jan 15 16:54:22 2018,13852.3
Mon Jan 15 16:49:23 2018,13871.8
Mon Jan 15 16:44:21 2018,13884.1
Mon Jan 15 16:39:22 2018,13888.6
Mon Jan 15 16:34:22 2018,13872.8
Mon Jan 15 16:29:22 2018,13914.8
Mon Jan 15 16:24:21 2018,13928.7
Mon Jan 15 16:19:20 2018,13933.5
Mon Jan 15 16:14:22 2018,13958.4
Mon Jan 15 16:09:22 2018,13945
Mon Jan 15 16:04:22 2018,13946.3
Mon Jan 15 15:59:21 2018,13945
Mon Jan 15 15:54:22 2018,13925.3
Mon Jan 15 15:49:22 2018,13940.5
Mon Jan 15 15:44:23 2018,13947.1
Mon Jan 15 15:39:21 2018,13928.3
Mon Jan 15 15:34:22 2018,13925
Mon Jan 15 15:29:23 2018,13889.9
Mon Jan 15 15:24:22 2018,13872.5
Mon Jan 15 15:19:22 2018,13853.8
Mon Jan 15 15:14:22 2018,13828.2
Mon Jan 15 15:09:22 2018,13818.1
Mon Jan 15 15:04:23 2018,13776.2
Mon Jan 15 14:59:22 2018,13780
Mon Jan 15 14:54:23 2018,13757.5
Mon Jan 15 14:49:22 2018,13744.2
Mon Jan 15 14:44:23 2018,13738.8
Mon Jan 15 14:39:23 2018,13716.7
Mon Jan 15 14:34:21 2018,13720.1
Mon Jan 15 14:29:22 2018,13742.9
Mon Jan 15 14:24:22 2018,13783
Mon Jan 15 14:19:21 2018,13777.6
Mon Jan 15 14:14:22 2018,13788.2
Mon Jan 15 14:09:22 2018,13765.8
Mon Jan 15 14:04:22 2018,13775.9
Mon Jan 15 13:59:22 2018,13802.2
Mon Jan 15 13:54:22 2018,13809.9
Mon Jan 15 13:49:22 2018,13801.7
Mon Jan 15 13:44:21 2018,13782.6
Mon Jan 15 13:39:22 2018,13749.5
Mon Jan 15 13:34:22 2018,13742.4
Mon Jan 15 13:29:22 2018,13747.5
Mon Jan 15 13:24:22 2018,13759.7
Mon Jan 15 13:19:22 2018,13769.7
Mon Jan 15 13:14:22 2018,13754.6
Mon Jan 15 13:09:23 2018,13737.1
Mon Jan 15 13:04:22 2018,13730.7
Mon Jan 15 12:59:22 2018,13713.4
Mon Jan 15 12:54:22 2018,13702.3
Mon Jan 15 12:49:22 2018,13670.1
Mon Jan 15 12:44:22 2018,13654.6
Mon Jan 15 12:39:22 2018,13643.8
Mon Jan 15 12:34:23 2018,13665.4
Mon Jan 15 12:29:21 2018,13682.2
Mon Jan 15 12:24:22 2018,13651.4
Mon Jan 15 12:19:22 2018,13641.7
Mon Jan 15 12:14:22 2018,13652.3
Mon Jan 15 12:09:22 2018,13715.3
Mon Jan 15 12:04:23 2018,13740.4
Mon Jan 15 11:59:23 2018,13747.8
Mon Jan 15 11:54:22 2018,13734
Mon Jan 15 11:49:22 2018,13690.9
Mon Jan 15 11:44:21 2018,13670.7
Mon Jan 15 11:39:19 2018,13678.6
Mon Jan 15 11:34:22 2018,13707.2
Mon Jan 15 11:29:21 2018,13739.4
Mon Jan 15 11:24:22 2018,13736.3
Mon Jan 15 11:19:22 2018,13758.2
Mon Jan 15 11:14:23 2018,13817.5
Mon Jan 15 11:09:22 2018,13840.7
Mon Jan 15 11:04:22 2018,13878.3
Mon Jan 15 10:59:22 2018,13892.7
Mon Jan 15 10:54:22 2018,13895.9
Mon Jan 15 10:49:23 2018,13866.9
Mon Jan 15 10:44:22 2018,13866.2
Mon Jan 15 10:39:21 2018,13821.5
Mon Jan 15 10:34:22 2018,13816.1
Mon Jan 15 10:29:22 2018,13834.6
Mon Jan 15 10:24:22 2018,13861
Mon Jan 15 10:19:23 2018,13924.9
Mon Jan 15 10:14:22 2018,13951.7
Mon Jan 15 10:09:22 2018,13913.9
Mon Jan 15 10:04:21 2018,13908.3
Mon Jan 15 09:59:21 2018,13874.6
Mon Jan 15 09:54:22 2018,13861.7
Mon Jan 15 09:49:21 2018,13853.7
Mon Jan 15 09:44:21 2018,13820.5
Mon Jan 15 09:39:22 2018,13777.1
Mon Jan 15 09:34:21 2018,13758.7
Mon Jan 15 09:29:22 2018,13749.6
Mon Jan 15 09:24:22 2018,13774
Mon Jan 15 09:19:23 2018,13778.1
Mon Jan 15 09:14:22 2018,13754.1
