date,price
Mon Jan 15 23:34:10 2018,1314.61
Mon Jan 15 23:29:09 2018,1317.69
Mon Jan 15 23:24:10 2018,1316.39
Mon Jan 15 23:19:11 2018,1313.79
Mon Jan 15 23:14:10 2018,1318.82
Mon Jan 15 23:09:10 2018,1321.37
Mon Jan 15 23:04:10 2018,1318.3
Mon Jan 15 22:59:09 2018,1319.18
Mon Jan 15 22:54:10 2018,1312.54
Mon Jan 15 22:49:10 2018,1316.6
Mon Jan 15 22:44:10 2018,1315.98
Mon Jan 15 22:39:10 2018,1323.93
Mon Jan 15 22:34:10 2018,1321.12
Mon Jan 15 22:29:10 2018,1324.71
Mon Jan 15 22:24:10 2018,1324.91
Mon Jan 15 22:19:10 2018,1329.57
Mon Jan 15 22:14:10 2018,1323.6
Mon Jan 15 22:09:10 2018,1326.06
Mon Jan 15 22:04:09 2018,1334.06
Mon Jan 15 21:59:08 2018,1318.79
Mon Jan 15 21:54:10 2018,1316.19
Mon Jan 15 21:49:10 2018,1300.58
Mon Jan 15 21:44:11 2018,1291.83
Mon Jan 15 21:39:10 2018,1295.9
Mon Jan 15 21:34:09 2018,1296.01
Mon Jan 15 21:29:09 2018,1300.96
Mon Jan 15 21:24:10 2018,1306.25
Mon Jan 15 21:19:10 2018,1309.71
Mon Jan 15 21:14:10 2018,1311.03
Mon Jan 15 21:09:09 2018,1309.94
Mon Jan 15 21:04:10 2018,1310.42
Mon Jan 15 20:59:09 2018,1309.19
Mon Jan 15 20:54:09 2018,1312.28
Mon Jan 15 20:49:09 2018,1312.97
Mon Jan 15 20:44:09 2018,1310.46
Mon Jan 15 20:39:10 2018,1311.23
Mon Jan 15 20:34:10 2018,1320.94
Mon Jan 15 20:29:09 2018,1330.17
Mon Jan 15 20:24:10 2018,1334.77
Mon Jan 15 20:19:11 2018,1334.63
Mon Jan 15 20:14:09 2018,1334.77
Mon Jan 15 20:09:09 2018,1334.68
Mon Jan 15 20:04:10 2018,1334.13
Mon Jan 15 19:59:10 2018,1337.86
Mon Jan 15 19:54:10 2018,1335.04
Mon Jan 15 19:49:09 2018,1332.84
Mon Jan 15 19:44:10 2018,1330.9
Mon Jan 15 19:39:10 2018,1327.27
Mon Jan 15 19:34:10 2018,1327.24
Mon Jan 15 19:29:10 2018,1328.53
Mon Jan 15 19:24:09 2018,1331.71
Mon Jan 15 19:19:10 2018,1330.9
Mon Jan 15 19:14:09 2018,1331.01
Mon Jan 15 19:09:10 2018,1329.39
Mon Jan 15 19:04:10 2018,1330.4
Mon Jan 15 18:59:09 2018,1329.42
Mon Jan 15 18:54:10 2018,1331.86
Mon Jan 15 18:49:09 2018,1327.52
Mon Jan 15 18:44:10 2018,1323.46
Mon Jan 15 18:39:09 2018,1324.99
Mon Jan 15 18:34:09 2018,1325.76
Mon Jan 15 18:29:10 2018,1327.75
Mon Jan 15 18:24:10 2018,1330.03
Mon Jan 15 18:19:10 2018,1334.2
Mon Jan 15 18:14:10 2018,1334.02
Mon Jan 15 18:09:10 2018,1331.4
Mon Jan 15 18:04:08 2018,1331.79
Mon Jan 15 17:59:08 2018,1332.62
Mon Jan 15 17:54:10 2018,1328.26
Mon Jan 15 17:49:10 2018,1328.74
Mon Jan 15 17:44:10 2018,1329.75
Mon Jan 15 17:39:09 2018,1331.66
Mon Jan 15 17:34:10 2018,1338.23
Mon Jan 15 17:29:08 2018,1341.8
Mon Jan 15 17:24:10 2018,1339.31
Mon Jan 15 17:19:10 2018,1338.32
Mon Jan 15 17:14:10 2018,1337.01
Mon Jan 15 17:09:11 2018,1335.12
