date,price,buy_volume,sell_volume,sum_buy,sum_sell,sum_volume
Mon Jan 15 23:34:10 2018,1314.61,0,0,0,0,0
Mon Jan 15 23:29:09 2018,1317.69,0,0,0,0,0
Mon Jan 15 23:24:10 2018,1316.39,0,0,0,0,0
Mon Jan 15 23:19:11 2018,1313.79,0,0,0,0,0
Mon Jan 15 23:14:10 2018,1318.82,0,0,0,0,0
Mon Jan 15 23:09:10 2018,1321.37,0,0,0,0,0
Mon Jan 15 23:04:10 2018,1318.3,0,0,0,0,0
Mon Jan 15 22:59:09 2018,1319.18,0,0,0,0,0
Mon Jan 15 22:54:10 2018,1312.54,0,0,0,0,0
Mon Jan 15 22:49:10 2018,1316.6,0,0,0,0,0
Mon Jan 15 22:44:10 2018,1315.98,0,0,0,0,0
Mon Jan 15 22:39:10 2018,1323.93,0,0,0,0,0
Mon Jan 15 22:34:10 2018,1321.12,0,1,0,1321.12,-1
Mon Jan 15 22:29:10 2018,1324.71,0,0,0,0,1
Mon Jan 15 22:24:10 2018,1324.91,0,0,0,0,0
Mon Jan 15 22:19:10 2018,1329.57,0,0,0,0,0
Mon Jan 15 22:14:10 2018,1323.6,0,0,0,0,0
Mon Jan 15 22:09:10 2018,1326.06,0,0,0,0,0
Mon Jan 15 22:04:09 2018,1334.06,1,0,1334.06,0,1
Mon Jan 15 21:59:08 2018,1318.79,1,0,1318.79,0,1
Mon Jan 15 21:54:10 2018,1316.19,0,0,0,0,0
Mon Jan 15 21:49:10 2018,1300.58,0,0,0,0,0
Mon Jan 15 21:44:11 2018,1291.83,0,1,0,1291.83,-1
Mon Jan 15 21:39:10 2018,1295.9,0,1,0,1295.9,0
Mon Jan 15 21:34:09 2018,1296.01,0,1,0,1296.01,0
Mon Jan 15 21:29:09 2018,1300.96,0,1,0,1300.96,0
Mon Jan 15 21:24:10 2018,1306.25,0,0,0,0,1
Mon Jan 15 21:19:10 2018,1309.71,0,0,0,0,0
Mon Jan 15 21:14:10 2018,1311.03,0,0,0,0,0
Mon Jan 15 21:09:09 2018,1309.94,0,0,0,0,0
Mon Jan 15 21:04:10 2018,1310.42,0,0,0,0,0
Mon Jan 15 20:59:09 2018,1309.19,0,0,0,0,0
Mon Jan 15 20:54:09 2018,1312.28,0,0,0,0,0
Mon Jan 15 20:49:09 2018,1312.97,0,0,0,0,0
Mon Jan 15 20:44:09 2018,1310.46,0,1,0,1310.46,-1
Mon Jan 15 20:39:10 2018,1311.23,0,1,0,1311.23,0
Mon Jan 15 20:34:10 2018,1320.94,0,0,0,0,1
Mon Jan 15 20:29:09 2018,1330.17,0,0,0,0,0
Mon Jan 15 20:24:10 2018,1334.77,0,0,0,0,0
Mon Jan 15 20:19:11 2018,1334.63,0,0,0,0,0
Mon Jan 15 20:14:09 2018,1334.77,0,0,0,0,0
Mon Jan 15 20:09:09 2018,1334.68,0,0,0,0,0
Mon Jan 15 20:04:10 2018,1334.13,0,0,0,0,0
Mon Jan 15 19:59:10 2018,1337.86,1,0,1337.86,0,1
Mon Jan 15 19:54:10 2018,1335.04,1,0,1335.04,0,1
Mon Jan 15 19:49:09 2018,1332.84,1,0,1332.84,0,1
Mon Jan 15 19:44:10 2018,1330.9,0,0,0,0,0
Mon Jan 15 19:39:10 2018,1327.27,0,0,0,0,0
Mon Jan 15 19:34:10 2018,1327.24,0,0,0,0,0
Mon Jan 15 19:29:10 2018,1328.53,0,0,0,0,0
Mon Jan 15 19:24:09 2018,1331.71,0,0,0,0,0
Mon Jan 15 19:19:10 2018,1330.9,0,0,0,0,0
Mon Jan 15 19:14:09 2018,1331.01,0,0,0,0,0
Mon Jan 15 19:09:10 2018,1329.39,0,0,0,0,0
Mon Jan 15 19:04:10 2018,1330.4,0,0,0,0,0
Mon Jan 15 18:59:09 2018,1329.42,0,0,0,0,0
Mon Jan 15 18:54:10 2018,1331.86,0,0,0,0,0
Mon Jan 15 18:49:09 2018,1327.52,0,0,0,0,0
Mon Jan 15 18:44:10 2018,1323.46,0,1,0,1323.46,-1
Mon Jan 15 18:39:09 2018,1324.99,0,1,0,1324.99,0
Mon Jan 15 18:34:09 2018,1325.76,0,1,0,1325.76,0
Mon Jan 15 18:29:10 2018,1327.75,0,0,0,0,1
Mon Jan 15 18:24:10 2018,1330.03,0,0,0,0,0
Mon Jan 15 18:19:10 2018,1334.2,0,0,0,0,0
Mon Jan 15 18:14:10 2018,1334.02,0,0,0,0,0
Mon Jan 15 18:09:10 2018,1331.4,0,0,0,0,0
Mon Jan 15 18:04:08 2018,1331.79,0,0,0,0,0
Mon Jan 15 17:59:08 2018,1332.62,0,0,0,0,0
Mon Jan 15 17:54:10 2018,1328.26,0,1,0,1328.26,-1
Mon Jan 15 17:49:10 2018,1328.74,0,1,0,1328.74,0
Mon Jan 15 17:44:10 2018,1329.75,0,1,0,1329.75,0
Mon Jan 15 17:39:09 2018,1331.66,0,0,0,0,1
Mon Jan 15 17:34:10 2018,1338.23,0,0,0,0,0
Mon Jan 15 17:29:08 2018,1341.8,1,0,1341.8,0,1
Mon Jan 15 17:24:10 2018,1339.31,1,0,1339.31,0,1
Mon Jan 15 17:19:10 2018,1338.32,0,0,0,0,0
Mon Jan 15 17:14:10 2018,1337.01,0,0,0,0,0
Mon Jan 15 17:09:11 2018,1335.12,0,1,0,1335.12,-1
Mon Jan 15 17:04:09 2018,1336.71,0,1,0,1336.71,0
Mon Jan 15 16:59:09 2018,1339.81,0,0,0,0,1
Mon Jan 15 16:54:10 2018,1342.37,0,0,0,0,0
Mon Jan 15 16:49:09 2018,1345.53,1,0,1345.53,0,1
Mon Jan 15 16:44:09 2018,1345.12,0,0,0,0,0
Mon Jan 15 16:39:10 2018,1344.37,0,0,0,0,0
Mon Jan 15 16:34:09 2018,1341.62,0,1,0,1341.62,-1
Mon Jan 15 16:29:09 2018,1342.06,0,1,0,1342.06,0
Mon Jan 15 16:24:10 2018,1343.59,0,1,0,1343.59,0
Mon Jan 15 16:19:09 2018,1347.64,0,0,0,0,1
Mon Jan 15 16:14:09 2018,1349.54,0,0,0,0,0
Mon Jan 15 16:09:10 2018,1353.08,0,0,0,0,0
Mon Jan 15 16:04:09 2018,1352.71,0,1,0,1352.71,-1
Mon Jan 15 15:59:09 2018,1353.14,0,1,0,1353.14,0
Mon Jan 15 15:54:11 2018,1354.39,0,1,0,1354.39,0
Mon Jan 15 15:49:10 2018,1354.74,0,0,0,0,1
Mon Jan 15 15:44:09 2018,1356.55,0,0,0,0,0
Mon Jan 15 15:39:10 2018,1359.13,0,0,0,0,0
Mon Jan 15 15:34:10 2018,1358.27,0,0,0,0,0
Mon Jan 15 15:29:10 2018,1358.12,0,0,0,0,0
Mon Jan 15 15:24:10 2018,1360.36,1,0,1360.36,0,1
Mon Jan 15 15:19:09 2018,1357.83,1,0,1357.83,0,1
Mon Jan 15 15:14:09 2018,1356.08,1,0,1356.08,0,1
Mon Jan 15 15:09:10 2018,1353.88,1,0,1353.88,0,1
Mon Jan 15 15:04:10 2018,1349.68,1,0,1349.68,0,1
Mon Jan 15 14:59:10 2018,1349.43,1,0,1349.43,0,1
Mon Jan 15 14:54:10 2018,1348.71,1,0,1348.71,0,1
Mon Jan 15 14:49:09 2018,1344.22,1,0,1344.22,0,1
Mon Jan 15 14:44:10 2018,1340.86,0,0,0,0,0
Mon Jan 15 14:39:10 2018,1335.39,0,0,0,0,0
Mon Jan 15 14:34:10 2018,1335.38,0,1,0,1335.38,-1
Mon Jan 15 14:29:09 2018,1337.59,0,0,0,0,1
Mon Jan 15 14:24:10 2018,1340.81,0,0,0,0,0
Mon Jan 15 14:19:10 2018,1343.09,0,0,0,0,0
Mon Jan 15 14:14:09 2018,1342.48,0,0,0,0,0
Mon Jan 15 14:09:10 2018,1340.95,0,1,0,1340.95,-1
Mon Jan 15 14:04:09 2018,1343.03,0,0,0,0,1
Mon Jan 15 13:59:10 2018,1345.86,0,0,0,0,0
Mon Jan 15 13:54:11 2018,1346.56,1,0,1346.56,0,1
Mon Jan 15 13:49:09 2018,1345.07,0,0,0,0,0
Mon Jan 15 13:44:10 2018,1344.45,0,0,0,0,0
Mon Jan 15 13:39:10 2018,1342.45,0,1,0,1342.45,-1
Mon Jan 15 13:34:10 2018,1343.09,0,1,0,1343.09,0
Mon Jan 15 13:29:09 2018,1345.19,0,1,0,1345.19,0
Mon Jan 15 13:24:09 2018,1348.0,0,0,0,0,1
Mon Jan 15 13:19:09 2018,1348.3,0,0,0,0,0
Mon Jan 15 13:14:10 2018,1349.41,0,0,0,0,0
Mon Jan 15 13:09:09 2018,1346.35,0,0,0,0,0
Mon Jan 15 13:04:10 2018,1346.84,1,0,1346.84,0,1
Mon Jan 15 12:59:09 2018,1346.05,1,0,1346.05,0,1
Mon Jan 15 12:54:09 2018,1344.56,1,0,1344.56,0,1
Mon Jan 15 12:49:10 2018,1342.15,0,0,0,0,0
Mon Jan 15 12:44:08 2018,1338.52,0,0,0,0,0
Mon Jan 15 12:39:09 2018,1338.35,0,0,0,0,0
Mon Jan 15 12:34:09 2018,1340.85,0,0,0,0,0
Mon Jan 15 12:29:10 2018,1342.67,0,0,0,0,0
Mon Jan 15 12:24:09 2018,1341.02,0,0,0,0,0
Mon Jan 15 12:19:10 2018,1338.5,0,1,0,1338.5,-1
Mon Jan 15 12:14:09 2018,1340.93,0,1,0,1340.93,0
Mon Jan 15 12:09:09 2018,1345.48,0,0,0,0,1
Mon Jan 15 12:04:11 2018,1351.81,0,0,0,0,0
Mon Jan 15 11:59:09 2018,1351.98,1,0,1351.98,0,1
Mon Jan 15 11:54:09 2018,1350.83,1,0,1350.83,0,1
Mon Jan 15 11:49:10 2018,1348.71,1,0,1348.71,0,1
Mon Jan 15 11:44:10 2018,1343.53,0,0,0,0,0
Mon Jan 15 11:39:10 2018,1338.4,0,0,0,0,0
Mon Jan 15 11:34:10 2018,1336.47,0,1,0,1336.47,-1
Mon Jan 15 11:29:08 2018,1337.76,0,1,0,1337.76,0
Mon Jan 15 11:24:09 2018,1337.8,0,1,0,1337.8,0
Mon Jan 15 11:19:11 2018,1338.44,0,1,0,1338.44,0
Mon Jan 15 11:14:10 2018,1346.52,0,1,0,1346.52,0
Mon Jan 15 11:09:10 2018,1351.62,0,1,0,1351.62,0
Mon Jan 15 11:04:10 2018,1356.66,0,1,0,1356.66,0
Mon Jan 15 10:59:09 2018,1364.03,0,0,0,0,1
Mon Jan 15 10:54:09 2018,1366.05,0,0,0,0,0
Mon Jan 15 10:49:10 2018,1366.62,1,0,1366.62,0,1
Mon Jan 15 10:44:10 2018,1365.58,0,0,0,0,0
Mon Jan 15 10:39:09 2018,1362.48,0,0,0,0,0
Mon Jan 15 10:34:09 2018,1361.69,0,1,0,1361.69,-1
Mon Jan 15 10:29:08 2018,1367.6,0,1,0,1367.6,0
Mon Jan 15 10:24:10 2018,1373.47,0,0,0,0,1
Mon Jan 15 10:19:09 2018,1384.03,0,0,0,0,0
Mon Jan 15 10:14:09 2018,1388.38,0,0,0,0,0
Mon Jan 15 10:09:10 2018,1385.5,0,0,0,0,0
Mon Jan 15 10:04:09 2018,1390.49,0,0,0,0,0
Mon Jan 15 09:59:10 2018,1390.59,1,0,1390.59,0,1
Mon Jan 15 09:54:09 2018,1389.18,1,0,1389.18,0,1
Mon Jan 15 09:49:10 2018,1387.95,1,0,1387.95,0,1
Mon Jan 15 09:44:10 2018,1383.65,1,0,1383.65,0,1
Mon Jan 15 09:39:09 2018,1379.27,1,0,1379.27,0,1
Mon Jan 15 09:34:10 2018,1376.15,1,0,1376.15,0,1
Mon Jan 15 09:29:09 2018,1372.13,1,0,1372.13,0,1
Mon Jan 15 09:24:10 2018,1372.08,1,0,1372.08,0,1
Mon Jan 15 09:19:09 2018,1368.86,0,0,0,0,0
Mon Jan 15 09:14:11 2018,1366.25,0,0,0,0,0
Mon Jan 15 09:09:10 2018,1365.17,0,0,0,0,0
Mon Jan 15 09:04:10 2018,1365.21,0,0,0,0,0
Mon Jan 15 08:34:10 2018,1373.01,0,0,0,0,0
Mon Jan 15 08:29:10 2018,1368.1,0,0,0,0,0
Mon Jan 15 08:24:09 2018,1363.19,0,0,0,0,0
Mon Jan 15 08:19:09 2018,1363.93,1,0,1363.93,0,1
Mon Jan 15 08:14:09 2018,1361.19,1,0,1361.19,0,1
Mon Jan 15 08:09:10 2018,1354.86,1,0,1354.86,0,1
Mon Jan 15 08:04:09 2018,1351.45,1,0,1351.45,0,1
Mon Jan 15 07:59:10 2018,1348.07,1,0,1348.07,0,1
Mon Jan 15 07:54:10 2018,1342.98,1,0,1342.98,0,1
Mon Jan 15 07:49:09 2018,1342.29,1,0,1342.29,0,1
Mon Jan 15 07:44:10 2018,1339.39,0,0,0,0,0
Mon Jan 15 07:39:10 2018,1335.73,0,0,0,0,0
Mon Jan 15 07:34:09 2018,1335.31,0,0,0,0,0
Mon Jan 15 07:29:09 2018,1335.89,0,0,0,0,0
Mon Jan 15 07:24:10 2018,1333.44,0,0,0,0,0
Mon Jan 15 07:19:10 2018,1334.03,0,0,0,0,0
Mon Jan 15 07:14:11 2018,1332.5,0,0,0,0,0
Mon Jan 15 07:09:09 2018,1330.07,0,0,0,0,0
Mon Jan 15 07:04:09 2018,1330.51,0,0,0,0,0
Mon Jan 15 06:59:10 2018,1330.05,0,1,0,1330.05,-1
Mon Jan 15 06:54:10 2018,1330.37,0,1,0,1330.37,0
Mon Jan 15 06:49:10 2018,1330.91,0,0,0,0,1
Mon Jan 15 06:44:09 2018,1333.49,0,0,0,0,0
Mon Jan 15 06:39:09 2018,1335.34,1,0,1335.34,0,1
Mon Jan 15 06:34:09 2018,1332.23,0,0,0,0,0
Mon Jan 15 06:29:09 2018,1330.89,0,0,0,0,0
Mon Jan 15 06:24:10 2018,1330.11,0,0,0,0,0
Mon Jan 15 06:19:09 2018,1330.13,0,0,0,0,0
Mon Jan 15 06:14:10 2018,1330.09,0,1,0,1330.09,-1
Mon Jan 15 06:09:09 2018,1333.66,0,0,0,0,1
Mon Jan 15 06:04:10 2018,1335.37,0,0,0,0,0
Mon Jan 15 05:59:10 2018,1336.32,1,0,1336.32,0,1
Mon Jan 15 05:54:09 2018,1332.19,1,0,1332.19,0,1
Mon Jan 15 05:49:10 2018,1328.45,1,0,1328.45,0,1
Mon Jan 15 05:44:10 2018,1328.11,0,0,0,0,0
Mon Jan 15 05:39:10 2018,1325.97,0,0,0,0,0
Mon Jan 15 05:34:09 2018,1325.41,0,1,0,1325.41,-1
Mon Jan 15 05:29:09 2018,1328.56,0,0,0,0,1
Mon Jan 15 05:24:09 2018,1330.66,0,0,0,0,0
Mon Jan 15 05:19:10 2018,1332.5,0,0,0,0,0
Mon Jan 15 05:14:09 2018,1328.43,0,0,0,0,0
Mon Jan 15 05:09:09 2018,1325.32,0,1,0,1325.32,-1
Mon Jan 15 05:04:10 2018,1327.01,0,1,0,1327.01,0
Mon Jan 15 04:59:09 2018,1328.37,0,1,0,1328.37,0
Mon Jan 15 04:54:09 2018,1329.5,0,1,0,1329.5,0
Mon Jan 15 04:49:10 2018,1332.52,0,0,0,0,1
Mon Jan 15 04:44:09 2018,1333.95,0,0,0,0,0
Mon Jan 15 04:39:09 2018,1335.97,0,0,0,0,0
Mon Jan 15 04:34:10 2018,1335.5,0,0,0,0,0
Mon Jan 15 04:29:11 2018,1337.5,0,0,0,0,0
Mon Jan 15 04:24:10 2018,1337.0,0,0,0,0,0
Mon Jan 15 04:19:09 2018,1337.82,1,0,1337.82,0,1
Mon Jan 15 04:14:09 2018,1335.53,1,0,1335.53,0,1
Mon Jan 15 04:09:10 2018,1333.23,1,0,1333.23,0,1
Mon Jan 15 04:04:10 2018,1330.4,0,0,0,0,0
Mon Jan 15 03:59:10 2018,1326.49,0,0,0,0,0
Mon Jan 15 03:54:10 2018,1325.39,0,1,0,1325.39,-1
Mon Jan 15 03:49:09 2018,1328.57,0,1,0,1328.57,0
Mon Jan 15 03:44:10 2018,1332.33,0,1,0,1332.33,0
Mon Jan 15 03:39:11 2018,1335.24,0,0,0,0,1
Mon Jan 15 03:34:10 2018,1335.54,0,0,0,0,0
Mon Jan 15 03:29:09 2018,1336.76,1,0,1336.76,0,1
Mon Jan 15 03:24:10 2018,1336.37,1,0,1336.37,0,1
Mon Jan 15 03:19:10 2018,1334.97,0,0,0,0,0
Mon Jan 15 03:14:09 2018,1329.86,0,0,0,0,0
Mon Jan 15 03:09:10 2018,1326.62,0,0,0,0,0
Mon Jan 15 03:04:10 2018,1326.94,1,0,1326.94,0,1
Mon Jan 15 02:59:09 2018,1326.9,1,0,1326.9,0,1
Mon Jan 15 02:54:11 2018,1322.38,1,0,1322.38,0,1
Mon Jan 15 02:49:09 2018,1315.4,1,0,1315.4,0,1
Mon Jan 15 02:44:10 2018,1311.79,1,0,1311.79,0,1
Mon Jan 15 02:39:09 2018,1311.52,1,0,1311.52,0,1
Mon Jan 15 02:34:09 2018,1307.59,0,0,0,0,0
Mon Jan 15 02:29:09 2018,1304.53,0,0,0,0,0
Mon Jan 15 02:24:10 2018,1302.83,0,1,0,1302.83,-1
Mon Jan 15 02:19:10 2018,1303.39,0,1,0,1303.39,0
Mon Jan 15 02:14:09 2018,1304.44,0,0,0,0,1
Mon Jan 15 02:09:10 2018,1308.09,0,0,0,0,0
Mon Jan 15 02:04:10 2018,1308.11,1,0,1308.11,0,1
Mon Jan 15 01:59:10 2018,1303.33,0,0,0,0,0
Mon Jan 15 01:54:10 2018,1298.24,0,0,0,0,0
Mon Jan 15 01:49:10 2018,1295.56,0,1,0,1295.56,-1
Mon Jan 15 01:44:09 2018,1297.96,0,0,0,0,1
Mon Jan 15 01:39:09 2018,1299.64,0,0,0,0,0
Mon Jan 15 01:34:09 2018,1300.82,1,0,1300.82,0,1
Mon Jan 15 01:29:09 2018,1299.84,1,0,1299.84,0,1
Mon Jan 15 01:24:10 2018,1295.88,0,0,0,0,0
Mon Jan 15 01:19:09 2018,1292.92,0,0,0,0,0
Mon Jan 15 01:14:10 2018,1288.44,0,0,0,0,0
Mon Jan 15 01:09:09 2018,1288.83,0,0,0,0,0
Mon Jan 15 01:04:09 2018,1293.62,1,0,1293.62,0,1
Mon Jan 15 00:59:10 2018,1293.02,0,0,0,0,0
Mon Jan 15 00:54:09 2018,1289.5,0,0,0,0,0
Mon Jan 15 00:49:09 2018,1286.21,0,0,0,0,0
Mon Jan 15 00:44:08 2018,1290.35,0,0,0,0,0
Mon Jan 15 00:39:09 2018,1288.87,0,1,0,1288.87,-1
Mon Jan 15 00:34:09 2018,1296.88,0,1,0,1296.88,0
Mon Jan 15 00:29:09 2018,1304.86,0,1,0,1304.86,0
Mon Jan 15 00:24:09 2018,1308.17,0,1,0,1308.17,0
Mon Jan 15 00:19:09 2018,1311.72,0,1,0,1311.72,0
Mon Jan 15 00:14:10 2018,1316.54,0,1,0,1316.54,0
Mon Jan 15 00:09:09 2018,1322.77,0,1,0,1322.77,0
Mon Jan 15 00:04:09 2018,1327.04,0,1,0,1327.04,0
Sun Jan 14 23:59:09 2018,1327.05,0,0,0,0,1
Sun Jan 14 23:54:09 2018,1328.02,0,0,0,0,0
Sun Jan 14 23:49:10 2018,1330.13,0,0,0,0,0
Sun Jan 14 23:44:10 2018,1328.94,0,0,0,0,0
Sun Jan 14 23:39:09 2018,1330.36,0,0,0,0,0
Sun Jan 14 23:34:10 2018,1328.79,0,1,0,1328.79,-1
Sun Jan 14 23:29:11 2018,1331.52,0,0,0,0,1
Sun Jan 14 23:24:09 2018,1335.3,0,0,0,0,0
Sun Jan 14 23:19:10 2018,1337.72,0,0,0,0,0
Sun Jan 14 23:14:09 2018,1337.72,0,1,0,1337.72,-1
Sun Jan 14 23:09:10 2018,1338.24,0,0,0,0,1
Sun Jan 14 23:04:10 2018,1339.51,0,0,0,0,0
Sun Jan 14 22:59:10 2018,1340.43,0,0,0,0,0
Sun Jan 14 22:54:10 2018,1333.89,0,0,0,0,0
Sun Jan 14 22:49:10 2018,1330.67,0,0,0,0,0
Sun Jan 14 22:44:09 2018,1332.68,1,0,1332.68,0,1
